date,accX,accY,accZ,gyrX,gyrY,gyrZ,fall
2020-09-02 21:07:57,0.0,0.0,0.87,0.68,0.87,0.35,0.0
2020-09-02 21:07:58,0.3,0.36,0.87,0.74,0.92,0.39,0.0
2020-09-02 21:08:00,0.29,0.36,0.87,0.98,1.81,1.61,0.0
2020-09-02 21:08:01,0.29,0.37,0.87,3.25,4.33,2.01,0.0
2020-09-02 21:08:02,0.24,0.36,0.89,9.07,6.16,6.25,0.0
2020-09-02 21:08:03,0.23,0.38,0.89,22.02,14.26,41.79,0.0
2020-09-02 21:08:04,0.41,0.44,0.77,10.03,8.0,17.23,0.0
2020-09-02 21:08:05,0.17,0.46,0.85,10.03,8.38,7.11,0.0
2020-09-02 21:08:06,0.25,0.52,0.79,5.97,3.7,3.62,0.0
2020-09-02 21:08:07,0.12,0.48,0.85,1.74,1.14,1.43,0.0
2020-09-02 21:08:09,0.17,0.49,0.84,1.86,1.54,0.94,0.0
2020-09-02 21:08:10,0.16,0.48,0.85,1.25,1.03,0.49,0.0
2020-09-02 21:08:11,0.15,0.47,0.85,0.7,1.03,1.94,0.0
2020-09-02 21:08:12,0.17,0.46,0.85,1.55,2.17,1.53,0.0
2020-09-02 21:08:13,0.26,0.45,0.84,0.92,1.57,0.34,0.0
2020-09-02 21:08:14,0.26,0.44,0.84,0.76,0.97,1.63,0.0
2020-09-02 21:08:15,0.25,0.45,0.84,0.77,2.31,1.63,0.0
2020-09-02 21:08:16,0.22,0.45,0.85,1.22,2.35,1.15,0.0
2020-09-02 21:08:18,0.18,0.45,0.86,1.57,2.31,1.26,0.0
2020-09-02 21:08:19,0.19,0.46,0.85,1.16,0.71,0.73,0.0
2020-09-02 21:08:20,0.21,0.45,0.85,0.85,0.91,0.43,0.0
2020-09-02 21:08:21,0.21,0.45,0.85,0.67,0.81,0.33,0.0
2020-09-02 21:08:22,0.2,0.45,0.85,1.19,2.29,1.32,0.0
2020-09-02 21:08:23,0.17,0.45,0.86,1.9,5.76,6.63,0.0
2020-09-02 21:08:24,0.21,0.3,0.91,33.92,6.16,18.62,0.0
2020-09-02 21:08:26,0.3,0.26,0.92,16.67,13.9,20.47,0.0
2020-09-02 21:08:27,0.24,0.17,0.95,32.92,14.11,14.73,0.0
2020-09-02 21:08:28,0.24,0.19,0.95,17.33,11.0,11.85,0.0
2020-09-02 21:08:29,0.36,0.18,0.92,4.2,4.44,6.01,0.0
2020-09-02 21:08:30,0.38,0.2,0.91,2.16,1.71,2.13,0.0
2020-09-02 21:08:31,0.33,0.15,0.93,1.17,4.75,1.76,0.0
2020-09-02 21:08:32,0.3,0.11,0.95,1.1,1.66,1.38,0.0
2020-09-02 21:08:33,0.29,0.1,0.95,1.04,1.17,1.48,0.0
2020-09-02 21:08:35,0.28,0.11,0.96,0.78,3.0,4.89,0.0
2020-09-02 21:08:36,0.28,0.1,0.95,8.5,2.94,25.91,0.0
2020-09-02 21:08:37,0.29,0.07,0.96,3.3,2.96,1.77,0.0
2020-09-02 21:08:38,0.29,0.06,0.95,5.47,2.2,17.34,0.0
2020-09-02 21:08:39,0.29,0.11,0.95,4.9,2.75,23.51,0.0
2020-09-02 21:08:40,0.24,0.24,0.94,3.21,8.03,19.35,0.0
2020-09-02 21:08:41,0.74,0.2,0.57,30.94,32.19,37.66,0.0
2020-09-02 21:08:43,0.92,0.22,0.22,52.52,19.61,22.41,0.0
2020-09-02 21:08:44,0.95,0.2,0.2,47.22,26.75,36.16,0.0
2020-09-02 21:08:45,0.33,0.48,0.73,40.75,65.09,41.0,0.0
2020-09-02 21:08:46,0.24,0.61,0.73,9.86,10.35,15.37,0.0
2020-09-02 21:08:47,0.05,0.48,0.88,12.91,9.28,5.85,0.0
2020-09-02 21:08:48,0.11,0.56,0.83,10.23,9.47,7.38,0.0
2020-09-02 21:08:49,0.04,0.42,0.91,8.25,7.97,9.56,0.0
2020-09-02 21:08:51,0.16,0.34,0.92,8.18,15.41,6.04,0.0
2020-09-02 21:08:52,0.3,0.23,0.93,2.93,1.87,1.32,0.0
2020-09-02 21:08:53,0.27,0.28,0.91,8.51,4.85,1.83,0.0
2020-09-02 21:08:54,0.12,0.3,0.93,14.82,16.16,11.5,0.0
2020-09-02 21:08:55,0.11,0.34,0.94,10.91,6.71,9.23,0.0
2020-09-02 21:08:56,0.14,0.24,0.97,9.21,13.21,10.37,0.0
2020-09-02 21:08:57,0.23,0.07,0.96,12.33,7.67,12.27,0.0
2020-09-02 21:08:59,0.1,0.14,0.98,27.94,11.15,8.5,0.0
2020-09-02 21:09:00,0.13,0.1,0.98,10.62,4.75,4.49,0.0
2020-09-02 21:09:01,0.08,0.02,1.0,5.02,3.6,3.15,0.0
2020-09-02 21:09:02,0.07,0.03,0.99,7.51,2.2,1.97,0.0
2020-09-02 21:09:03,0.05,0.04,0.99,5.09,3.09,2.41,0.0
2020-09-02 21:09:04,0.07,0.03,1.0,5.17,3.93,1.46,0.0
2020-09-02 21:09:05,0.11,0.02,0.99,2.81,3.58,1.31,0.0
2020-09-02 21:09:07,0.11,0.03,0.99,1.74,2.52,1.19,0.0
2020-09-02 21:09:08,0.12,0.03,0.99,8.79,5.12,6.95,0.0
