date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-19 21:50:53,0.0,0.0,0.0,0.44,0.78,0.2,"['2020-09-19 21:50:53', 0.0, 0.0, 0.0, 0.44, 0.78, 0.2, [...]]"
2020-09-19 21:50:54,0.0,0.0,0.0,0.58,0.75,0.09,"['2020-09-19 21:50:54', 0.0, 0.0, 0.0, 0.58, 0.75, 0.09, [...]]"
2020-09-19 21:50:55,0.0,0.0,0.0,0.58,0.75,0.09,"['2020-09-19 21:50:55', 0.0, 0.0, 0.0, 0.58, 0.75, 0.09, [...]]"
2020-09-19 21:50:55,0.0,0.0,0.0,0.61,0.91,0.15,"['2020-09-19 21:50:55', 0.0, 0.0, 0.0, 0.61, 0.91, 0.15, [...]]"
2020-09-19 21:50:56,0.0,0.0,0.0,0.61,0.87,0.13,"['2020-09-19 21:50:56', 0.0, 0.0, 0.0, 0.61, 0.87, 0.13, [...]]"
2020-09-19 21:50:57,0.0,0.0,0.0,0.46,0.87,0.13,"['2020-09-19 21:50:57', 0.0, 0.0, 0.0, 0.46, 0.87, 0.13, [...]]"
2020-09-19 21:50:58,0.0,0.0,0.0,0.47,0.86,0.11,"['2020-09-19 21:50:58', 0.0, 0.0, 0.0, 0.47, 0.86, 0.11, [...]]"
2020-09-19 21:50:58,0.0,0.0,0.0,0.47,0.86,0.11,"['2020-09-19 21:50:58', 0.0, 0.0, 0.0, 0.47, 0.86, 0.11, [...]]"
2020-09-19 21:50:59,0.0,0.0,0.0,0.47,0.84,0.1,"['2020-09-19 21:50:59', 0.0, 0.0, 0.0, 0.47, 0.84, 0.1, [...]]"
2020-09-19 21:51:00,0.0,0.0,0.0,0.48,0.84,0.1,"['2020-09-19 21:51:00', 0.0, 0.0, 0.0, 0.48, 0.84, 0.1, [...]]"
2020-09-19 21:51:01,0.0,0.0,0.0,0.48,0.84,0.1,"['2020-09-19 21:51:01', 0.0, 0.0, 0.0, 0.48, 0.84, 0.1, [...]]"
2020-09-19 21:51:01,0.0,0.0,0.0,0.46,0.86,0.11,"['2020-09-19 21:51:01', 0.0, 0.0, 0.0, 0.46, 0.86, 0.11, [...]]"
2020-09-19 21:51:02,0.0,0.0,0.0,0.52,0.81,0.1,"['2020-09-19 21:51:02', 0.0, 0.0, 0.0, 0.52, 0.81, 0.1, [...]]"
2020-09-19 21:51:03,0.0,0.0,0.0,0.52,0.81,0.1,"['2020-09-19 21:51:03', 0.0, 0.0, 0.0, 0.52, 0.81, 0.1, [...]]"
2020-09-19 21:51:04,0.0,0.0,0.0,0.63,0.81,0.12,"['2020-09-19 21:51:04', 0.0, 0.0, 0.0, 0.63, 0.81, 0.12, [...]]"
2020-09-19 21:51:04,0.0,0.0,0.0,0.63,0.89,0.18,"['2020-09-19 21:51:04', 0.0, 0.0, 0.0, 0.63, 0.89, 0.18, [...]]"
2020-09-19 21:51:05,0.0,0.0,0.0,0.39,0.89,0.18,"['2020-09-19 21:51:05', 0.0, 0.0, 0.0, 0.39, 0.89, 0.18, [...]]"
2020-09-19 21:51:06,0.0,0.0,0.0,0.48,0.78,0.11,"['2020-09-19 21:51:06', 0.0, 0.0, 0.0, 0.48, 0.78, 0.11, [...]]"
2020-09-19 21:51:07,0.0,0.0,0.0,0.48,0.78,0.11,"['2020-09-19 21:51:07', 0.0, 0.0, 0.0, 0.48, 0.78, 0.11, [...]]"
2020-09-19 21:51:07,0.0,0.0,0.0,0.49,0.78,0.11,"['2020-09-19 21:51:07', 0.0, 0.0, 0.0, 0.49, 0.78, 0.11, [...]]"
2020-09-19 21:51:08,0.0,0.0,0.0,0.45,0.86,0.13,"['2020-09-19 21:51:08', 0.0, 0.0, 0.0, 0.45, 0.86, 0.13, [...]]"
2020-09-19 21:51:09,0.0,0.0,0.0,0.45,0.86,0.13,"['2020-09-19 21:51:09', 0.0, 0.0, 0.0, 0.45, 0.86, 0.13, [...]]"
2020-09-19 21:51:09,0.0,0.0,0.0,0.75,0.88,0.1,"['2020-09-19 21:51:09', 0.0, 0.0, 0.0, 0.75, 0.88, 0.1, [...]]"
2020-09-19 21:51:10,0.0,0.0,0.0,0.41,0.83,0.14,"['2020-09-19 21:51:10', 0.0, 0.0, 0.0, 0.41, 0.83, 0.14, [...]]"
2020-09-19 21:51:11,0.0,0.0,0.0,0.41,0.83,0.14,"['2020-09-19 21:51:11', 0.0, 0.0, 0.0, 0.41, 0.83, 0.14, [...]]"
2020-09-19 21:51:12,0.0,0.0,0.0,0.49,0.84,0.1,"['2020-09-19 21:51:12', 0.0, 0.0, 0.0, 0.49, 0.84, 0.1, [...]]"
2020-09-19 21:51:12,0.0,0.0,0.0,0.49,0.77,0.1,"['2020-09-19 21:51:12', 0.0, 0.0, 0.0, 0.49, 0.77, 0.1, [...]]"
2020-09-19 21:51:13,0.0,0.0,0.0,0.53,0.77,0.1,"['2020-09-19 21:51:13', 0.0, 0.0, 0.0, 0.53, 0.77, 0.1, [...]]"
2020-09-19 21:51:14,0.0,0.0,0.0,0.45,0.8,0.76,"['2020-09-19 21:51:14', 0.0, 0.0, 0.0, 0.45, 0.8, 0.76, [...]]"
2020-09-19 21:51:15,0.0,0.0,0.0,0.45,0.8,0.41,"['2020-09-19 21:51:15', 0.0, 0.0, 0.0, 0.45, 0.8, 0.41, [...]]"
