date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-18 18:36:03,0.0,0.0,0.0,0.85,0.83,1.3
2020-09-18 18:36:03,0.0,0.0,0.0,2.77,0.76,1.3
2020-09-18 18:36:04,0.0,0.0,0.0,0.72,1.15,0.85
2020-09-18 18:36:05,0.0,0.0,0.0,0.72,1.15,0.85
2020-09-18 18:36:06,0.0,0.0,0.0,2.0,0.41,0.76
2020-09-18 18:36:06,0.0,0.0,0.0,0.64,0.98,0.4
2020-09-18 18:36:07,0.0,0.0,0.0,0.64,0.98,0.4
2020-09-18 18:36:08,0.0,0.0,0.0,0.62,0.82,0.4
2020-09-18 18:36:09,0.0,0.0,0.0,1.42,0.58,1.04
2020-09-18 18:36:09,0.0,0.0,0.0,1.42,0.58,0.58
2020-09-18 18:36:10,0.0,0.0,0.0,0.58,1.3,0.58
2020-09-18 18:36:11,0.0,0.0,0.0,0.89,0.58,0.47
2020-09-18 18:36:12,0.0,0.0,0.0,0.89,0.58,0.45
2020-09-18 18:36:13,0.0,0.0,0.0,0.91,1.03,0.45
2020-09-18 18:36:13,0.0,0.0,0.0,0.66,0.93,0.54
2020-09-18 18:36:14,0.0,0.0,0.0,0.66,0.93,0.54
2020-09-18 18:36:15,0.0,0.0,0.0,1.37,0.75,1.27
2020-09-18 18:36:16,0.0,0.0,0.0,4.97,1.37,4.16
2020-09-18 18:36:16,0.0,0.0,0.01,4.97,1.37,4.16
2020-09-18 18:36:17,0.0,0.0,0.01,5.97,1.01,4.74
2020-09-18 18:36:18,0.0,0.0,0.01,5.97,1.83,4.11
2020-09-18 18:36:18,0.01,0.0,0.02,4.65,1.83,4.11
2020-09-18 18:36:19,0.01,0.0,0.01,4.45,1.17,4.29
2020-09-18 18:36:20,0.0,0.0,0.01,4.45,1.27,6.36
2020-09-18 18:36:21,0.0,0.01,0.01,7.33,1.27,6.36
2020-09-18 18:36:22,0.02,0.03,0.04,8.76,3.61,7.58
2020-09-18 18:36:22,0.02,0.03,0.03,10.73,8.36,13.83
2020-09-18 18:36:23,0.02,0.02,0.03,10.73,8.36,13.83
2020-09-18 18:36:24,0.13,0.05,0.13,15.25,15.99,13.4
2020-09-18 18:36:25,0.06,0.03,0.09,9.06,11.92,11.38
2020-09-18 18:36:26,0.06,0.03,0.09,7.34,4.25,7.4
2020-09-18 18:36:27,0.02,0.02,0.03,7.34,4.25,7.4
2020-09-18 18:36:27,0.04,0.05,0.04,11.81,8.94,15.27
2020-09-18 18:36:28,0.04,0.05,0.06,30.86,10.04,22.44
2020-09-18 18:36:29,0.05,0.04,0.06,30.86,10.04,15.79
2020-09-18 18:36:30,0.08,0.06,0.09,18.37,8.35,15.79
2020-09-18 18:36:31,0.01,0.01,0.01,3.63,2.06,3.92
2020-09-18 18:36:32,0.01,0.01,0.01,2.17,0.88,2.76
2020-09-18 18:36:32,0.01,0.0,0.0,2.17,0.88,2.76
2020-09-18 18:36:33,0.02,0.0,0.02,5.31,2.61,6.31
2020-09-18 18:36:34,0.02,0.0,0.02,5.31,2.61,3.36
2020-09-18 18:36:34,0.01,0.01,0.01,2.4,1.75,3.36
2020-09-18 18:36:35,0.01,0.0,0.01,2.01,1.32,2.18
2020-09-18 18:36:36,0.01,0.0,0.01,2.01,1.32,2.18
2020-09-18 18:36:37,0.01,0.0,0.01,1.28,1.28,1.74
2020-09-18 18:36:37,0.01,0.0,0.01,1.84,1.56,1.82
