,date,accX,accY,accZ,gyrX,gyrY,gyrZ,files,accTotal,gyrTotal
58,2020-09-14 19:17:27,0.0,0.0,0.0,0.84,0.11,1.38,1,0.0,1.6192899678562822
59,2020-09-14 19:17:28,0.0,0.0,0.0,0.83,0.1,1.37,1,0.0,1.6049299050114307
60,2020-09-14 19:17:29,0.0,0.0,0.0,0.83,0.1,1.37,1,0.0,1.6049299050114307
61,2020-09-14 19:17:30,0.0,0.0,0.0,0.85,0.09,1.39,1,0.0,1.631778171198524
62,2020-09-14 19:17:30,0.0,0.0,0.0,0.87,0.11,1.36,1,0.0,1.6182088863926067
63,2020-09-14 19:17:31,0.0,0.0,0.0,0.87,0.11,1.36,1,0.0,1.6182088863926067
64,2020-09-14 19:17:32,0.0,0.0,0.0,0.88,0.13,1.36,1,0.0,1.625084613181726
65,2020-09-14 19:17:33,0.0,0.0,0.0,0.88,0.11,1.39,1,0.0,1.6488177582740913
66,2020-09-14 19:17:33,0.0,0.0,0.0,0.87,0.11,1.39,1,0.0,1.6435023577713541
67,2020-09-14 19:17:34,0.0,0.0,0.0,0.88,0.13,1.38,1,0.0,1.6418587028121512
68,2020-09-14 19:17:35,0.0,0.0,0.0,0.88,0.13,1.38,1,0.0,1.6418587028121512
69,2020-09-14 19:17:35,0.0,0.0,0.0,0.85,0.11,1.38,1,0.0,1.624499923053245
70,2020-09-14 19:17:36,0.0,0.0,0.0,1.47,0.74,1.36,1,0.0,2.1349707257946187
71,2020-09-14 19:17:37,0.01,0.0,0.0,1.47,0.74,1.36,1,0.01,2.1349707257946187
72,2020-09-14 19:17:38,0.0,0.0,0.0,0.88,0.15,1.37,1,0.0,1.6351758315239373
73,2020-09-14 19:17:38,0.0,0.0,0.0,0.86,0.43,1.37,1,0.0,1.6737383308032352
74,2020-09-14 19:17:39,0.0,0.0,0.0,0.86,0.43,1.37,1,0.0,1.6737383308032352
75,2020-09-14 19:17:40,0.0,0.0,0.0,0.85,0.12,1.39,1,0.0,1.6337074401495513
76,2020-09-14 19:17:41,0.0,0.0,0.0,0.85,0.12,1.4,1,0.0,1.6422241016377757
77,2020-09-14 19:17:41,0.0,0.0,0.0,0.88,0.22,1.4,1,0.0,1.6681726529349412
78,2020-09-14 19:17:42,0.0,0.0,0.0,0.87,0.24,1.38,1,0.0,1.6489087300393555
79,2020-09-14 19:17:43,0.0,0.0,0.0,0.87,0.24,1.38,1,0.0,1.6489087300393555
80,2020-09-14 19:17:43,0.0,0.0,0.0,0.92,0.37,1.4,1,0.0,1.7156048496084406
81,2020-09-14 19:17:44,0.0,0.0,0.0,0.89,0.22,1.39,1,0.0,1.6651126088045816
82,2020-09-14 19:17:45,0.0,0.0,0.0,0.89,0.22,1.39,1,0.0,1.6651126088045816
83,2020-09-14 19:17:46,0.0,0.0,0.0,0.83,0.12,1.4,1,0.0,1.6319620093617375
84,2020-09-14 19:17:46,0.0,0.0,0.0,0.83,0.1,1.39,1,0.0,1.6220357579289058
85,2020-09-14 19:17:47,0.0,0.0,0.0,0.84,0.1,1.39,1,0.0,1.6271754668750384
86,2020-09-14 19:17:48,0.0,0.0,0.0,0.84,0.1,1.4,1,0.0,1.635726138447387
87,2020-09-14 19:17:49,0.0,0.0,0.0,0.84,0.1,1.37,1,0.0,1.6101242188104619
88,2020-09-14 19:17:49,0.0,0.0,0.0,0.85,0.12,1.37,1,0.0,1.6167250848551835
89,2020-09-14 19:17:50,0.0,0.0,0.0,0.88,0.11,1.37,1,0.0,1.6319926470422592
90,2020-09-14 19:17:51,0.0,0.0,0.0,0.88,0.11,1.37,1,0.0,1.6319926470422592
91,2020-09-14 19:17:51,0.0,0.0,0.0,0.89,0.23,1.39,1,0.0,1.6664633209284865
92,2020-09-14 19:17:52,0.0,0.0,0.0,0.88,0.12,1.38,1,0.0,1.641097193952875
93,2020-09-14 19:17:53,0.0,0.0,0.0,0.88,0.12,1.38,1,0.0,1.641097193952875
94,2020-09-14 19:17:54,0.0,0.0,0.0,0.83,0.08,1.4,1,0.0,1.6295091285414758
95,2020-09-14 19:17:54,0.0,0.0,0.0,0.83,0.14,1.39,1,0.0,1.6249923076741009
96,2020-09-14 19:17:55,0.0,0.0,0.0,0.85,0.14,1.39,1,0.0,1.635298137955278
97,2020-09-14 19:17:56,0.0,0.0,0.0,1.15,0.94,1.42,1,0.0,2.0548722588034516
98,2020-09-14 19:17:57,0.02,0.0,0.0,1.15,0.94,1.42,1,0.02,2.0548722588034516
99,2020-09-14 19:17:57,0.0,0.0,0.0,0.86,0.19,1.35,1,0.0,1.6118932967166284
100,2020-09-14 19:17:58,0.0,0.0,0.0,0.91,0.11,1.37,1,0.0,1.6483628241379384
101,2020-09-14 19:17:59,0.0,0.0,0.0,0.91,0.11,1.37,1,0.0,1.6483628241379384
102,2020-09-14 19:17:59,0.0,0.0,0.0,0.87,0.11,1.37,1,0.0,1.6266222671536255
103,2020-09-14 19:18:00,0.0,0.0,0.0,0.87,0.1,1.4,1,0.0,1.651332795047685
104,2020-09-14 19:18:01,0.0,0.0,0.0,0.88,0.1,1.4,1,0.0,1.6566230711903054
105,2020-09-14 19:18:02,0.0,0.0,0.0,0.87,0.09,1.35,1,0.0,1.6085707942145413
106,2020-09-14 19:18:02,0.0,0.0,0.0,0.87,0.09,1.39,1,0.0,1.6422849935379669
107,2020-09-14 19:18:03,0.0,0.0,0.0,0.84,0.09,1.39,1,0.0,1.6265915283192642
108,2020-09-14 19:18:04,0.0,0.0,0.0,0.87,0.4,1.39,1,0.0,1.6878981011897607
109,2020-09-14 19:18:05,0.0,0.0,0.0,0.87,0.4,1.39,1,0.0,1.6878981011897607
110,2020-09-14 19:18:05,0.0,0.0,0.0,0.85,0.12,1.36,1,0.0,1.6082599292402955
111,2020-09-14 19:18:06,0.0,0.0,0.0,0.9,0.13,1.34,1,0.0,1.619413474070165
112,2020-09-14 19:18:07,0.0,0.0,0.0,0.9,0.13,1.34,1,0.0,1.619413474070165
113,2020-09-14 19:18:07,0.0,0.0,0.0,0.91,0.15,1.36,1,0.0,1.643228529450484
114,2020-09-14 19:18:08,0.0,0.0,0.0,0.91,0.17,1.38,1,0.0,1.6617460696508355
115,2020-09-14 19:18:09,0.0,0.0,0.0,0.9,0.17,1.38,1,0.0,1.6562910372274553
116,2020-09-14 19:18:10,0.0,0.0,0.0,0.9,0.13,1.36,1,0.0,1.6360012224934308
117,2020-09-14 19:18:10,0.0,0.0,0.0,0.9,0.13,1.36,1,0.0,1.6360012224934308
118,2020-09-14 19:18:11,0.0,0.0,0.0,0.89,0.11,1.34,1,0.0,1.6123895310997278
119,2020-09-14 19:18:12,0.0,0.0,0.0,0.85,0.13,1.35,1,0.0,1.6005936398724068
120,2020-09-14 19:18:13,0.0,0.0,0.0,0.85,0.13,1.35,1,0.0,1.6005936398724068
121,2020-09-14 19:18:13,0.0,0.0,0.0,0.89,0.1,1.36,1,0.0,1.6284041267449554
122,2020-09-14 19:18:14,0.0,0.0,0.0,0.88,0.13,1.38,1,0.0,1.6418587028121512
123,2020-09-14 19:18:15,0.0,0.0,0.0,0.88,0.13,1.38,1,0.0,1.6418587028121512
124,2020-09-14 19:18:16,0.0,0.0,0.0,0.87,0.12,1.35,1,0.0,1.610527863776346
125,2020-09-14 19:18:16,0.0,0.0,0.0,0.87,0.08,1.4,1,0.0,1.6502424064360968
126,2020-09-14 19:18:17,0.0,0.0,0.0,0.86,0.08,1.4,1,0.0,1.6449924011982546
127,2020-09-14 19:18:18,0.0,0.0,0.0,0.88,0.11,1.37,1,0.0,1.6319926470422592
128,2020-09-14 19:18:18,0.0,0.0,0.0,0.88,0.11,1.38,1,0.0,1.6403962935827427
129,2020-09-14 19:18:19,0.0,0.0,0.0,0.85,0.1,1.38,1,0.0,1.6238534416627628
130,2020-09-14 19:18:20,0.0,0.0,0.0,0.84,0.09,1.4,1,0.0,1.6351452534866742
131,2020-09-14 19:18:21,0.0,0.0,0.0,0.84,0.09,1.4,1,0.0,1.6351452534866742
132,2020-09-14 19:18:21,0.0,0.0,0.0,0.88,0.09,1.37,1,0.0,1.6307666908543357
133,2020-09-14 19:18:22,0.0,0.0,0.0,0.84,0.09,1.41,1,0.0,1.6437153038163268
134,2020-09-14 19:18:23,0.0,0.0,0.0,0.84,0.09,1.41,1,0.0,1.6437153038163268
135,2020-09-14 19:18:24,0.0,0.0,0.0,0.85,0.09,1.37,1,0.0,1.6147755261955143
136,2020-09-14 19:18:24,0.0,0.0,0.0,0.85,0.1,1.38,1,0.0,1.6238534416627628
137,2020-09-14 19:18:25,0.0,0.0,0.0,0.86,0.1,1.38,1,0.0,1.6291101865742537
138,2020-09-14 19:18:26,0.0,0.0,0.0,0.87,0.12,1.37,1,0.0,1.6273291000900831
139,2020-09-14 19:18:27,0.0,0.0,0.0,0.87,0.12,1.38,1,0.0,1.6357567056258702
140,2020-09-14 19:18:27,0.0,0.0,0.0,0.89,0.1,1.38,1,0.0,1.6451443705644802
141,2020-09-14 19:18:28,0.0,0.0,0.0,0.88,0.12,1.36,1,0.0,1.6243152403397563
142,2020-09-14 19:18:29,0.0,0.0,0.0,0.88,0.12,1.36,1,0.0,1.6243152403397563
143,2020-09-14 19:18:29,0.0,0.0,0.0,0.85,0.4,1.38,1,0.0,1.6694010902116962
144,2020-09-14 19:18:30,0.0,0.0,0.0,0.84,0.38,1.39,1,0.0,1.6679628293220445
145,2020-09-14 19:18:31,0.0,0.0,0.0,0.84,0.38,1.39,1,0.0,1.6679628293220445
146,2020-09-14 19:18:32,0.0,0.0,0.0,0.89,0.11,1.36,1,0.0,1.6290488022155751
147,2020-09-14 19:18:32,0.0,0.0,0.0,0.91,0.13,1.34,1,0.0,1.624992307674101
148,2020-09-14 19:18:33,0.0,0.0,0.0,0.91,0.13,1.34,1,0.0,1.624992307674101
149,2020-09-14 19:18:34,0.0,0.0,0.0,0.86,0.1,1.37,1,0.0,1.6206480185407317
150,2020-09-14 19:18:35,0.0,0.0,0.0,0.86,0.08,1.36,1,0.0,1.6110865898517064
151,2020-09-14 19:18:35,0.0,0.0,0.0,0.85,0.08,1.36,1,0.0,1.6057708429287163
152,2020-09-14 19:18:36,0.0,0.0,0.0,0.88,0.09,1.37,1,0.0,1.6307666908543357
153,2020-09-14 19:18:37,0.0,0.0,0.0,0.88,0.09,1.37,1,0.0,1.6307666908543357
154,2020-09-14 19:18:38,0.0,0.0,0.0,0.83,0.11,1.37,1,0.0,1.605584005899411
155,2020-09-14 19:18:38,0.0,0.0,0.0,0.86,0.08,1.37,1,0.0,1.6195369708654384
156,2020-09-14 19:18:39,0.0,0.0,0.0,0.86,0.08,1.37,1,0.0,1.6195369708654384
157,2020-09-14 19:18:40,0.0,0.0,0.0,0.85,0.1,1.36,1,0.0,1.6068914089010498
158,2020-09-14 19:18:41,0.0,0.0,0.0,0.87,0.1,1.39,1,0.0,1.6428633540255257
159,2020-09-14 19:18:41,0.0,0.0,0.0,0.87,0.1,1.39,1,0.0,1.6428633540255257
160,2020-09-14 19:18:42,0.0,0.0,0.0,0.85,0.08,1.38,1,0.0,1.6227445886522005
161,2020-09-14 19:18:43,0.0,0.0,0.0,0.85,0.1,1.36,1,0.0,1.6068914089010498
162,2020-09-14 19:18:43,0.0,0.0,0.0,0.88,0.1,1.36,1,0.0,1.622960258293468
163,2020-09-14 19:18:44,0.0,0.0,0.0,0.84,0.1,1.39,1,0.0,1.6271754668750384
164,2020-09-14 19:18:45,0.0,0.0,0.0,0.84,0.1,1.39,1,0.0,1.6271754668750384
165,2020-09-14 19:18:46,0.0,0.0,0.0,0.84,0.11,1.39,1,0.0,1.6278206289391959
166,2020-09-14 19:18:46,0.0,0.0,0.0,0.86,0.09,1.36,1,0.0,1.611614097729354
167,2020-09-14 19:18:47,0.0,0.0,0.0,0.86,0.09,1.36,1,0.0,1.611614097729354
168,2020-09-14 19:18:48,0.0,0.0,0.0,0.84,0.09,1.39,1,0.0,1.6265915283192642
169,2020-09-14 19:18:48,0.0,0.0,0.0,0.84,0.08,1.37,1,0.0,1.6090059042775449
