date,accX,accY,accZ,gyrX,gyrY,gyrZ,fall
2020-09-08 14:10:04,0.63,0.51,0.68,17.81,14.51,57.97,0.0
2020-09-08 14:10:05,0.62,0.5,0.58,36.38,32.63,65.09,0.0
2020-09-08 14:10:06,0.78,0.42,0.61,37.88,31.77,50.84,0.0
2020-09-08 14:10:07,0.6,0.48,0.58,28.72,16.28,30.95,0.0
2020-09-08 14:10:09,0.61,0.56,0.55,39.34,26.12,34.56,0.0
2020-09-08 14:10:10,0.69,0.6,0.54,32.47,22.31,63.86,0.0
2020-09-08 14:10:11,0.67,0.6,0.52,29.34,22.18,38.03,0.0
2020-09-08 14:10:12,0.69,0.47,0.58,23.51,24.47,33.71,0.0
2020-09-08 14:10:13,0.68,0.42,0.65,39.23,21.06,40.39,0.0
2020-09-08 14:10:14,0.64,0.44,0.7,19.81,17.44,45.55,0.0
2020-09-08 14:10:16,0.62,0.41,0.69,32.41,18.07,37.05,0.0
2020-09-08 14:10:17,0.65,0.41,0.67,27.94,21.11,38.08,0.0
2020-09-08 14:10:18,0.64,0.43,0.66,23.44,17.01,29.96,0.0
2020-09-08 14:10:19,0.6,0.47,0.68,46.73,18.19,38.29,0.0
2020-09-08 14:10:20,0.64,0.54,0.62,34.0,31.38,35.65,0.0
2020-09-08 14:10:22,0.75,0.43,0.53,55.8,41.66,37.81,0.0
2020-09-08 14:10:23,0.65,0.4,0.71,55.8,8.26,6.3,0.0
2020-09-08 14:10:24,0.68,0.37,0.62,11.04,1.6,3.27,0.0
2020-09-08 14:10:25,0.71,0.37,0.56,3.1,1.13,2.14,0.0
2020-09-08 14:10:26,0.72,0.36,0.56,2.26,2.85,4.09,0.0
2020-09-08 14:10:27,0.73,0.36,0.54,8.68,2.85,6.47,0.0
2020-09-08 14:10:29,0.8,0.36,0.44,9.69,7.48,1.75,0.0
2020-09-08 14:10:30,0.83,0.34,0.39,4.19,1.3,1.56,0.0
2020-09-08 14:10:31,0.82,0.34,0.41,1.98,0.61,2.08,0.0
2020-09-08 14:10:32,0.82,0.33,0.42,3.07,1.55,1.45,0.0
2020-09-08 14:10:33,0.82,0.32,0.43,2.26,1.2,1.64,0.0
2020-09-08 14:10:34,0.82,0.33,0.43,0.91,0.53,1.52,0.0
2020-09-08 14:10:35,0.82,0.33,0.42,1.12,0.53,1.37,0.0
2020-09-08 14:10:37,0.82,0.33,0.42,1.06,0.45,1.41,0.0
2020-09-08 14:10:38,0.82,0.33,0.42,1.31,0.52,1.39,0.0
2020-09-08 14:10:39,0.82,0.33,0.42,1.03,0.68,1.26,0.0
2020-09-08 14:10:40,0.82,0.33,0.42,1.96,1.02,1.41,0.0
2020-09-08 14:10:41,0.82,0.32,0.42,1.35,0.85,1.46,0.0
2020-09-08 14:10:42,0.82,0.32,0.42,1.41,0.76,1.28,0.0
2020-09-08 14:10:44,0.82,0.32,0.43,1.41,0.54,1.49,0.0
2020-09-08 14:10:45,0.82,0.32,0.42,38.17,37.77,49.03,0.0
2020-09-08 14:10:46,0.75,0.55,0.59,42.32,27.34,61.89,0.0
2020-09-08 14:10:47,0.73,0.63,0.68,31.54,18.26,45.4,0.0
2020-09-08 14:10:48,0.64,0.57,0.57,34.68,22.07,56.09,0.0
2020-09-08 14:14:17,0.47,0.49,0.71,5.33,2.84,2.59,0.0
2020-09-08 14:14:18,0.52,0.44,0.7,2.13,1.88,10.22,0.0
2020-09-08 14:14:19,0.6,0.36,0.68,5.19,3.72,8.31,0.0
2020-09-08 14:14:21,0.61,0.38,0.66,3.71,2.37,6.66,0.0
2020-09-08 14:14:22,0.62,0.43,0.63,1.5,2.27,1.7,0.0
2020-09-08 14:14:23,0.61,0.43,0.63,3.09,2.66,5.76,0.0
2020-09-08 14:14:24,0.62,0.41,0.63,1.44,1.59,2.66,0.0
2020-09-08 14:14:26,0.61,0.42,0.64,1.65,0.93,1.54,0.0
2020-09-08 14:14:27,0.61,0.42,0.64,1.61,1.36,1.47,0.0
2020-09-08 14:14:28,0.65,0.37,0.63,3.97,3.42,6.64,0.0
2020-09-08 14:14:29,0.67,0.34,0.63,2.01,2.02,3.08,0.0
2020-09-08 14:14:31,0.69,0.3,0.62,10.48,7.01,8.28,0.0
2020-09-08 14:14:32,0.86,0.1,0.48,17.84,18.79,21.58,0.0
2020-09-08 14:14:33,0.96,0.16,0.11,32.06,37.22,10.57,0.0
2020-09-08 14:14:34,0.96,0.14,0.1,7.73,18.16,10.57,0.0
2020-09-08 14:14:35,0.98,0.09,0.05,1.54,4.22,2.03,0.0
2020-09-08 14:14:36,0.97,0.08,0.06,1.02,2.35,1.91,0.0
2020-09-08 14:14:38,0.97,0.08,0.07,1.01,1.84,1.4,0.0
2020-09-08 14:14:39,0.97,0.08,0.09,1.22,4.22,2.62,0.0
2020-09-08 14:14:40,0.97,0.08,0.08,1.0,1.6,1.61,0.0
2020-09-08 14:14:41,0.97,0.07,0.09,0.91,1.79,1.61,0.0
2020-09-08 14:14:42,0.97,0.07,0.09,0.83,0.95,1.93,0.0
2020-09-08 14:14:43,0.97,0.06,0.1,0.98,1.4,1.93,0.0
2020-09-08 14:14:45,1.02,0.12,0.12,8.9,19.9,9.51,0.0
2020-09-08 14:14:46,0.89,0.19,0.13,25.55,41.35,22.38,0.0
2020-09-08 14:14:47,0.96,0.08,0.25,13.6,32.15,26.16,0.0
2020-09-08 14:14:48,0.87,0.14,0.44,22.23,14.18,21.33,0.0
2020-09-08 14:14:49,0.89,0.15,0.42,5.26,4.16,4.82,0.0
2020-09-08 14:14:50,0.86,0.15,0.45,6.17,3.15,36.39,0.0
2020-09-08 14:14:52,0.85,0.17,0.43,20.89,18.63,26.51,0.0
2020-09-08 14:14:53,0.98,0.22,0.15,20.52,25.7,25.76,0.0
2020-09-08 14:14:54,0.95,0.14,0.13,20.44,12.95,33.61,0.0
2020-09-08 14:15:12,0.48,0.79,0.33,1.4,0.57,1.6,0.0
2020-09-08 14:15:14,0.47,0.79,0.33,2.67,1.98,4.0,0.0
2020-09-08 14:15:15,0.47,0.76,0.3,2.39,1.95,3.16,0.0
2020-09-08 14:15:17,0.54,0.77,0.26,1.33,1.37,1.85,0.0
2020-09-08 14:15:19,0.56,0.76,0.23,1.3,1.0,1.76,0.0
2020-09-08 14:15:56,0.47,0.81,0.25,1.01,0.2,1.35,0.0
2020-09-08 14:15:57,0.39,0.85,0.27,0.95,0.21,1.4,0.0
2020-09-08 14:15:59,0.4,0.85,0.27,1.0,0.5,1.4,0.0
2020-09-08 14:16:00,0.4,0.85,0.27,0.95,0.2,1.36,0.0
2020-09-08 14:16:02,0.39,0.85,0.27,0.94,0.2,1.41,0.0
2020-09-08 14:16:03,0.4,0.85,0.27,0.97,0.19,1.33,0.0
2020-09-08 14:16:05,0.4,0.85,0.28,0.98,0.2,1.4,0.0
2020-09-08 14:16:06,0.4,0.85,0.27,0.85,0.64,1.35,0.0
2020-09-08 14:16:08,0.4,0.85,0.28,1.0,0.23,1.4,0.0
2020-09-08 14:16:09,0.4,0.85,0.27,1.19,0.42,1.42,0.0
2020-09-08 14:16:10,0.4,0.85,0.28,1.01,0.2,1.37,0.0
2020-09-08 14:16:12,0.4,0.85,0.28,0.97,0.21,1.38,0.0
2020-09-08 14:16:13,0.4,0.84,0.28,1.02,0.24,1.34,0.0
2020-09-08 14:16:15,0.4,0.84,0.28,0.97,0.21,1.38,0.0
2020-09-08 14:16:16,0.4,0.84,0.28,0.98,0.2,1.35,0.0
2020-09-08 14:16:17,0.4,0.84,0.28,0.99,0.19,1.4,0.0
2020-09-08 14:16:19,0.4,0.84,0.28,4.05,2.69,2.39,0.0
2020-09-08 14:16:20,0.39,0.84,0.28,11.61,6.23,5.08,0.0
2020-09-08 14:16:22,0.34,0.82,0.4,3.4,3.42,2.21,0.0
2020-09-08 14:16:23,0.34,0.82,0.4,1.29,1.21,1.33,0.0
2020-09-08 14:16:25,0.33,0.82,0.41,1.83,3.2,2.16,0.0
2020-09-08 14:16:27,0.33,0.82,0.41,1.3,1.69,1.23,0.0
2020-09-08 14:16:28,0.34,0.82,0.4,0.99,0.34,1.4,0.0
2020-09-08 14:16:30,0.34,0.82,0.41,1.2,0.47,1.35,0.0
2020-09-08 14:16:32,0.34,0.82,0.41,0.99,0.21,1.37,0.0
2020-09-08 14:16:34,0.31,0.84,0.39,16.14,10.44,12.02,0.0
2020-09-08 14:16:36,0.16,0.95,0.18,15.69,13.94,1.84,0.0
2020-09-08 14:16:37,0.21,0.94,0.18,1.51,0.65,1.58,0.0
2020-09-08 14:16:39,0.21,0.94,0.18,1.29,0.26,1.34,0.0
2020-09-08 14:16:40,0.21,0.93,0.19,1.07,0.26,1.37,0.0
2020-09-08 14:16:42,0.21,0.93,0.19,1.02,0.2,1.36,0.0
2020-09-08 14:16:44,0.21,0.93,0.19,1.04,1.27,0.85,0.0
2020-09-08 14:16:46,0.19,0.94,0.2,4.91,1.48,1.4,0.0
2020-09-08 14:16:47,0.19,0.92,0.25,1.28,0.66,1.37,0.0
2020-09-08 14:16:49,0.2,0.92,0.25,0.89,0.17,1.43,0.0
2020-09-08 14:16:51,0.2,0.92,0.24,0.84,0.14,1.39,0.0
2020-09-08 14:16:52,0.2,0.92,0.24,0.93,0.15,1.41,0.0
2020-09-08 14:16:54,0.2,0.92,0.25,0.99,0.14,1.39,0.0
2020-09-08 14:16:56,0.2,0.92,0.25,0.92,0.2,1.37,0.0
2020-09-08 14:16:58,0.2,0.92,0.25,0.86,0.16,1.38,0.0
2020-09-08 14:16:59,0.2,0.92,0.25,1.08,0.23,1.37,0.0
2020-09-08 14:17:01,0.2,0.92,0.25,0.85,0.2,1.39,0.0
2020-09-08 14:17:03,0.2,0.92,0.25,1.04,0.34,1.41,0.0
2020-09-08 14:17:21,0.2,0.92,0.26,0.9,0.17,1.41,0.0
2020-09-08 14:17:22,0.2,0.92,0.26,0.98,0.15,1.39,0.0
2020-09-08 14:17:24,0.2,0.92,0.26,0.92,0.18,1.39,0.0
2020-09-08 14:17:26,0.2,0.92,0.26,0.98,0.17,1.36,0.0
2020-09-08 14:17:28,0.2,0.92,0.26,0.8,0.29,1.34,0.0
2020-09-08 14:17:29,0.2,0.92,0.26,0.95,0.21,1.39,0.0
2020-09-08 14:17:31,0.2,0.92,0.26,3.91,2.92,1.45,0.0
2020-09-08 14:17:33,0.18,0.95,0.18,4.31,1.52,3.47,0.0
2020-09-08 14:17:34,0.18,0.94,0.18,2.86,1.19,2.31,0.0
2020-09-08 14:17:36,0.19,0.94,0.19,1.54,0.76,1.44,0.0
2020-09-08 14:17:37,0.19,0.94,0.2,1.33,0.38,1.45,0.0
2020-09-08 14:17:38,0.2,0.94,0.2,0.95,0.15,1.4,0.0
2020-09-08 14:17:40,0.2,0.94,0.2,0.91,0.14,1.42,0.0
2020-09-08 14:17:41,0.2,0.94,0.2,0.93,0.13,1.4,0.0
2020-09-08 14:17:43,0.2,0.94,0.2,0.93,0.16,1.43,0.0
2020-09-08 14:17:44,0.2,0.93,0.2,0.9,0.2,1.41,0.0
2020-09-08 14:17:45,0.2,0.93,0.2,0.94,0.19,1.38,0.0
2020-09-08 14:17:47,0.2,0.93,0.2,0.91,0.16,1.43,0.0
2020-09-08 14:17:48,0.2,0.94,0.2,0.91,0.19,1.42,0.0
2020-09-08 14:17:49,0.2,0.93,0.2,0.89,0.45,1.42,0.0
2020-09-08 14:17:51,0.2,0.93,0.2,0.88,0.16,1.42,0.0
2020-09-08 14:17:52,0.2,0.93,0.2,0.93,0.14,1.41,0.0
2020-09-08 14:17:54,0.2,0.93,0.2,0.88,0.16,1.45,0.0
2020-09-08 14:17:55,0.2,0.93,0.2,0.95,0.21,1.42,0.0
2020-09-08 14:17:57,0.2,0.94,0.2,0.89,0.17,1.45,0.0
2020-09-08 14:17:58,0.2,0.93,0.2,0.94,0.11,1.43,0.0
2020-09-08 14:17:59,0.2,0.93,0.2,0.91,0.16,1.43,0.0
2020-09-08 14:18:01,0.2,0.93,0.2,0.9,0.14,1.39,0.0
2020-09-08 14:18:02,0.2,0.93,0.2,0.85,0.15,1.41,0.0
2020-09-08 14:18:04,0.2,0.93,0.2,0.9,0.26,1.38,0.0
2020-09-08 14:18:05,0.2,0.93,0.2,0.91,0.19,1.4,0.0
2020-09-08 14:18:07,0.2,0.94,0.2,0.92,0.19,1.37,0.0
2020-09-08 14:18:08,0.2,0.93,0.2,0.95,0.5,1.38,0.0
2020-09-08 14:18:10,0.2,0.94,0.2,0.87,0.2,1.35,0.0
2020-09-08 14:18:11,0.2,0.94,0.2,1.07,0.26,1.42,0.0
2020-09-08 14:18:12,0.19,0.94,0.21,0.99,0.22,1.37,0.0
2020-09-08 14:18:14,0.19,0.93,0.21,0.92,0.17,1.44,0.0
2020-09-08 14:18:15,0.19,0.94,0.2,0.89,0.18,1.42,0.0
2020-09-08 14:18:16,0.2,0.93,0.2,0.96,0.21,1.42,0.0
2020-09-08 14:18:18,0.2,0.93,0.2,0.89,0.15,1.45,0.0
2020-09-08 14:18:19,0.2,0.93,0.2,0.95,0.14,1.4,0.0
2020-09-08 14:18:21,0.2,0.93,0.21,0.84,0.29,1.42,0.0
2020-09-08 14:18:22,0.19,0.94,0.2,0.91,0.32,1.46,0.0
2020-09-08 14:18:23,0.2,0.93,0.2,0.88,0.17,1.41,0.0
2020-09-08 14:18:25,0.2,0.93,0.2,0.89,0.16,1.4,0.0
2020-09-08 14:18:26,0.2,0.93,0.2,0.91,0.15,1.41,0.0
2020-09-08 14:18:28,0.2,0.93,0.21,0.93,0.21,1.42,0.0
2020-09-08 14:18:29,0.2,0.93,0.2,0.89,0.18,1.41,0.0
2020-09-08 14:18:30,0.2,0.93,0.2,0.82,0.19,1.44,0.0
2020-09-08 14:18:32,0.2,0.94,0.2,0.92,0.37,1.37,0.0
2020-09-08 14:18:33,0.2,0.94,0.2,0.96,0.34,1.43,0.0
2020-09-08 14:18:35,0.18,0.93,0.22,3.61,0.78,1.19,0.0
2020-09-08 14:18:36,0.19,0.92,0.26,1.63,0.56,1.82,0.0
2020-09-08 14:18:38,0.19,0.92,0.26,0.94,0.26,1.42,0.0
2020-09-08 14:18:40,0.19,0.92,0.26,0.97,0.28,1.42,0.0
2020-09-08 14:18:41,0.19,0.92,0.27,1.01,0.87,1.37,0.0
2020-09-08 14:18:43,0.2,0.92,0.28,4.1,2.18,1.39,0.0
2020-09-08 14:18:45,0.19,0.92,0.27,2.29,0.82,1.37,0.0
2020-09-08 14:18:46,0.19,0.92,0.28,1.52,0.81,1.17,0.0
2020-09-08 14:18:48,0.18,0.92,0.27,2.92,0.9,1.51,0.0
2020-09-08 14:18:50,0.2,0.92,0.27,1.05,0.25,1.41,0.0
2020-09-08 14:18:52,0.2,0.92,0.27,0.83,0.22,1.38,0.0
2020-09-08 14:18:53,0.19,0.92,0.27,0.88,0.14,1.42,0.0
2020-09-08 14:18:55,0.2,0.92,0.27,0.87,0.19,1.41,0.0
2020-09-08 14:18:57,0.2,0.92,0.27,0.91,0.19,1.42,0.0
2020-09-08 14:18:58,0.2,0.92,0.27,0.87,0.21,1.37,0.0
2020-09-08 14:19:00,0.2,0.92,0.27,0.91,0.14,1.42,0.0
2020-09-08 14:19:02,0.2,0.92,0.27,0.88,0.15,1.39,0.0
2020-09-08 14:19:04,0.2,0.92,0.27,0.87,0.33,1.42,0.0
2020-09-08 14:19:06,0.2,0.92,0.27,1.01,0.2,1.4,0.0
2020-09-08 14:19:08,0.2,0.92,0.27,0.88,0.48,1.43,0.0
2020-09-08 14:19:09,0.2,0.92,0.27,0.98,0.15,1.41,0.0
2020-09-08 14:19:11,0.2,0.92,0.28,0.97,0.26,1.38,0.0
2020-09-08 14:19:13,0.2,0.92,0.27,0.95,0.18,1.39,0.0
2020-09-08 14:19:14,0.2,0.92,0.27,0.9,0.49,1.41,0.0
2020-09-08 14:19:16,0.2,0.92,0.27,0.91,0.15,1.39,0.0
2020-09-08 14:19:18,0.2,0.92,0.27,0.9,0.19,1.39,0.0
2020-09-08 14:19:19,0.2,0.92,0.27,0.87,0.13,1.42,0.0
2020-09-08 14:19:21,0.2,0.92,0.27,0.9,0.14,1.43,0.0
2020-09-08 14:19:23,0.2,0.92,0.27,0.87,1.52,1.3,0.0
2020-09-08 14:19:24,0.18,0.93,0.27,3.06,1.43,1.19,0.0
2020-09-08 14:19:26,0.18,0.92,0.28,3.57,1.11,2.17,0.0
2020-09-08 14:19:28,0.19,0.92,0.28,0.94,0.21,1.37,0.0
2020-09-08 14:19:29,0.19,0.91,0.29,0.91,0.19,1.42,0.0
2020-09-08 14:19:31,0.19,0.91,0.29,0.88,0.21,1.42,0.0
